Id,Text,Sentiment
367189542857482240,Tainted Talents (Ateliertagebuch.) » Wir sind nicht allein http://t.co/9rhta65MSx,neutral
368327046574776321,Aber wenigstens kommt #Supernatural heute mal wieder um 22 Uhr - ein schwacher Trost,neutral
368309870673793024,DARLEHEN - Angebot für Schufa-freie Darlehen: Günstiger Anbieter für Online DARLEHEN in Deutschland http://t.co/G84qcIGk7k,neutral
362896018389475328,"ANRUF ERWÜNSCHT: Hardcore Teeny Vicky Carrera: Hallo mein süßer, ich bin die 20 jährige Vicky aus Deutschland.... http://t.co/LvwyZgew4Q",neutral
367912309303148545,"Na? Wo sind Frankens heimliche Talente? - Die ersten Bewerbungen für den Talentwettbewerb ""Wer ko, der darf!""... http://t.co/MHGsyZDOdJ",neutral
364291928692490241,... Glück breitet sich aus ...,positive
376428554260475904,@Moramee unachtsam *seufz*,negative
372600329143345152,#jobs #Sales #Medien #TV #Tele M1 sucht #Persönlichkeit #Werbe #Verkauf im #Aussendienst (m/w) http://t.co/2IR8EazQoQ,neutral
395707232194940929,"Happy Halloween liebe Studenten, zeigt eure gruseligen Seiten!",neutral
374506338434686976,"Die App „iDelete“ hat mir 3,4 MB belegten Speicher freigemacht. Das Löschen dieser App bringt mir 16,4 MB freien Speicher. Und tschüss!",neutral
371276107690938368,@HalfEatenCrayon Moi???? @Ratzsa1 @Atheistspinner @Lenn_Len @lillai23,negative
395083010925535232,"Check out the new page at times about the first world war!
Schaut euch mal die neue Seite an über den ersten... http://t.co/QGRGXZ7rnR",neutral
395077566618673152,@schenklklopfer Jop und wenn sich die Agenda nicht noch ändert muss er abends lernen :-\,negative
392574984876326912,Grunderwerbsteuer wird erhöht: Der Immobilienkauf wird teurer http://t.co/Y1Sx5hWMLW,neutral
369077227020775424,"#Gruppenliga: #SGAE mit Pörschmann, Choteschovsky, Dreßbach, Schneider, Körner, Siegfart, A. Geiger, S. Grochow, C. Geiger, Müller, Kraus",neutral
377173500571955200,"Talente: Tumblr, Internet, allein sein, nerven. http://t.co/P9kvkOWflM",negative
367657362993463296,RT @LamiyaSlimani: Ich wünsche euch ne guttttte Nacht my loves &lt;3,positive
377442007406632960,W&amp;V: Apple-Event: Viele Details sickern vorher durch http://t.co/hfyVE5n75b,neutral
362985277511311361,Ce ciel... #sunset #coucherdesoleil #beautiful #amazing #palmier #beach #plage #street #evening… http://t.co/WVMDNXMeaS,positive
